opratDate,stgSdCd,stgSdNm,stgSggCd,stgSggNm,stgEmdCd,stgEmdNm,arrSdCd,arrSdNm,arrSggCd,arrSggNm,arrEmdCd,arrEmdNm,tzon,quater,useStf,useTm
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,10,30,17,1752.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,10,45,12,1951.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,11,00,22,1990.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,11,15,12,1897.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,11,30,15,2032.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,11,45,10,1880.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,12,00,9,1870.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,12,15,14,1858.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,12,30,14,2037.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,12,45,12,1916.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,13,00,12,2202.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,13,15,13,1951.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,13,30,8,1774.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,13,45,19,1988.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,14,00,19,2200.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,14,15,5,1894.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,14,30,5,1614.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,14,45,10,1886.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,15,00,5,1847.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,15,15,9,2121.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,15,30,14,1922.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,15,45,8,1948.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,16,00,1,2605.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,16,30,3,1966.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,16,45,10,1874.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,17,00,4,1691.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,17,15,6,1935.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,17,30,10,2596.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,17,45,7,1974.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,18,00,6,1666.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,18,15,4,2016.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,18,30,1,1578.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,19,00,1,1970.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,19,15,2,1592.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,20,15,1,1405.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,20,45,1,1626.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,21,00,1,1727.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,21,15,2,1809.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,22,00,1,2125.0
20260224,11,서울특별시,11110,종로구,1111013500,관철동,11,서울특별시,11200,성동구,1120011500,성수동2가,09,00,2,1997.0
20260224,11,서울특별시,11110,종로구,1111013500,관철동,11,서울특별시,11200,성동구,1120011500,성수동2가,10,15,5,1868.0
20260224,11,서울특별시,11110,종로구,1111013500,관철동,11,서울특별시,11200,성동구,1120011500,성수동2가,10,30,2,4046.0
20260224,11,서울특별시,11110,종로구,1111013500,관철동,11,서울특별시,11200,성동구,1120011500,성수동2가,10,45,5,2035.0
20260224,11,서울특별시,11110,종로구,1111013500,관철동,11,서울특별시,11200,성동구,1120011500,성수동2가,11,00,2,1930.0
20260224,11,서울특별시,11110,종로구,1111013500,관철동,11,서울특별시,11200,성동구,1120011500,성수동2가,11,15,2,2444.0
20260224,11,서울특별시,11110,종로구,1111013500,관철동,11,서울특별시,11200,성동구,1120011500,성수동2가,11,30,3,1967.0
20260224,11,서울특별시,11110,종로구,1111013500,관철동,11,서울특별시,11200,성동구,1120011500,성수동2가,12,00,2,2532.0
